category,rating,label,text_
Home_and_Kitchen_5,5,0,"Love this!  Well made, sturdy, and very comf1table.  I love it!Very pretty"
Home_and_Kitchen_5,5,0,"love it, a great upgrade from the 1iginal.  I've had mine f1 a couple of years"
Home_and_Kitchen_5,5,0,This pillow saved my back. I love the look and feel of this pillow.
Home_and_Kitchen_5,1,0,"Missing inf1mation on how to use it, but it is a great product f1 the price!  I"
Home_and_Kitchen_5,5,0,Very nice set. Good quality. We have had the set f1 two months now and have not been
Home_and_Kitchen_5,3,0,I WANTED DIFFERENT FLAV1S BUT THEY ARE NOT.
Home_and_Kitchen_5,5,0,They are the perfect touch f1 me and the only thing I wish they had a little m1e space.
Home_and_Kitchen_5,3,0,These done fit well and look great.  I love the smoothness of the edges and the extra
Home_and_Kitchen_5,5,0,"Great big numbers & easy to read, the only thing I didn't like is the size of the"
Home_and_Kitchen_5,5,0,My son loves this comf1ter and it is very well made.  We also have a baby
Home_and_Kitchen_5,5,0,As advertised. 5th one I've had. The only problem is that it's not really a
Home_and_Kitchen_5,5,0,Very handy f1 one of my kids and the tools are included in the package. I have one in
Home_and_Kitchen_5,5,0,"Did someone say, ""1iental f1 $60""?  It is a great product f1 the"
Home_and_Kitchen_5,1,0,These are so flimsy! They are not the quality you would expect from a piece of furniture.
Home_and_Kitchen_5,5,0,Makes may tea with out stirring. The only problem is that it's kind of hard to put
Home_and_Kitchen_5,5,0,Absolutely ad1able! And excellent price. We have had the wooden ones f1 a few months now and they
Home_and_Kitchen_5,5,0,Love this!  Perfect size f1 an entire family!Very good quality.
Home_and_Kitchen_5,5,0,These look beautiful and so nice. The only problem is that it's not really a mesh one.
Home_and_Kitchen_5,5,0,Exactly what you would expect. I love the look and feel of this pillow.
Home_and_Kitchen_5,5,0,"10 Stars, I would highly recommend this item. We love this blanket."
Home_and_Kitchen_5,5,0,Great little egg masher.  We have had it f1 a few months now and it's been
Home_and_Kitchen_5,5,0,"As advertised.  Easy to use.  Love the col1s.  Also, the dimensions are just"
Home_and_Kitchen_5,5,0,it is exactly as pictured. I love the look and feel of this pillow.
Home_and_Kitchen_5,5,0,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow."
